Province,Prefecture,Households,Population,Year
山西,太原府,136425,853561,1391
山西,平阳府,208211,1847990,1391
山西,潞安府,96211,643532,1391
山西,汾州府,25987,244110,1391
山西,大同府,21540,139505,1391
山西,泽州,66846,474931,1391
山西,沁州,15739,94844,1391
山西,辽州,11579,82818,1391
河南,开封,171147,1183339,1391
河南,南阳,11543,116977,1391
河南,河南,74168,528657,1391
河南,彰德,26032,132015,1391
河南,汝州,19397,129362,1391
河南,怀庆,32294,196690,1391
河南,卫辉,14791,100711,1391
河南,汝宁,22082,183123,1391
江西,南昌,196948,1110444,1391
江西,饶州,163164,821111,1391
江西,广信,88089,480410,1391
江西,南康,30710,196549,1391
江西,九江,15207,78278,1391
江西,建昌,114572,513116,1391
江西,抚州,228575,1201797,1391
江西,临江,134210,552874,1391
江西,吉安,343791,1717933,1391
江西,瑞州,88701,428002,1391
江西,袁州,73082,383349,1391
广东,广州,210995,608451,1391
广东,韶州,18900,80026,1391
广东,南雄,8909,67731,1391
广东,惠州,23180,108692,1391
广东,潮州,80979,296784,1391
广东,肇庆,89111,415793,1391
广东,高州,21951,67581,1391
广东,廉州,11819,75335,1391
广东,雷州,45327,225612,1391
广东,琼州,68522,291030,1391
南直隶,应天,168915,1193620,1393
南直隶,苏州,491514,2355030,1393
南直隶,松江,249950,1219937,1393
南直隶,常州,152164,775513,1393
南直隶,镇江,87364,522383,1393
南直隶,淮安,80689,632541,1393
南直隶,风阳,79107,427303,1393
南直隶,庐州,48720,367200,1393
南直隶,扬州,123097,736165,1393
南直隶,宁国,99732,532295,1393
南直隶,池州,35826,198574,1393
南直隶,徽州,125548,592364,1393
南直隶,太平,39290,259937,1393
南直隶,安庆,55573,422804,1393
南直隶,广德,44267,247979,1393
南直隶,徐州,22683,180821,1393
南直隶,滁州,3944,24797,1393
山东,济南,239143,2102935,1526
山东,兖州,161815,1702376,1526
山东,东昌,67536,578804,1526
福建,福州,799649,3875127,Yuan
福建,建宁,127254,506926,Yuan
福建,泉州,89060,455545,Yuan
福建,兴化,67739,352534,Yuan
福建,邵武,64127,248761,Yuan
福建,延平,89825,435869,Yuan
福建,汀州,41423,238127,Yuan
福建,漳州,21695,101306,Yuan
陕西,西安,0,1360000,1391
陕西,风翔,0,240000,1391
陕西,汉中,0,60000,1391
陕西,平凉,0,190000,1391
陕西,巩昌,0,250000,1391
陕西,临洮,0,50000,1391
陕西,庆阳,0,90000,1391
陕西,延安,0,410000,1391
